,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0:00,2400000,2800000,2560000,2560000,2560000,1920000,1680000,1920000,2400000,2560000,2560000,2080000
1:00,2400000,2800000,2560000,2560000,2560000,1920000,1680000,1920000,2400000,2560000,2560000,2080000
2:00,2400000,2800000,2560000,2560000,2560000,1920000,1680000,1920000,2400000,2560000,2560000,2080000
3:00,2400000,2800000,2560000,2560000,2560000,1920000,1680000,1920000,2400000,2560000,2560000,2080000
4:00,2400000,2800000,2560000,2560000,2560000,1920000,1680000,1920000,2400000,2560000,2560000,2080000
5:00,2400000,2800000,2560000,2560000,2560000,1920000,1680000,1920000,2400000,2560000,2560000,2080000
6:00,2400000,2800000,2560000,2560000,2560000,1920000,1680000,1920000,2400000,2560000,2560000,2080000
7:00,2400000,2800000,2560000,2560000,2560000,4800000,4800000,1920000,2400000,2560000,2560000,2080000
8:00,2400000,2800000,2560000,2560000,2560000,4800000,4800000,4800000,2400000,2560000,2560000,2080000
9:00,2400000,2800000,2560000,5280000,6400000,4800000,6080000,4800000,6080000,6080000,6080000,2080000
10:00,6880000,8000000,8000000,5280000,6400000,7200000,6080000,6560000,6080000,6080000,6080000,6880000
11:00,6880000,8000000,8000000,6880000,8000000,7200000,6400000,6560000,7680000,7040000,7040000,6880000
12:00,6880000,8000000,8000000,6880000,8000000,7200000,6400000,6560000,7680000,7040000,7040000,6880000
13:00,6880000,8000000,8000000,6880000,8000000,7200000,6400000,6560000,7680000,7040000,7040000,6880000
14:00,6880000,8000000,8000000,6880000,8000000,7200000,6400000,6560000,7680000,7040000,7040000,6880000
15:00,6880000,8000000,8000000,6880000,6240000,7200000,6400000,6560000,7680000,7040000,7040000,6880000
16:00,6880000,8000000,8000000,6240000,6240000,7200000,6400000,6560000,5920000,5280000,6080000,6880000
17:00,2080000,2880000,2720000,1920000,2400000,2080000,2240000,4800000,4800000,5280000,6080000,2080000
18:00,2080000,2880000,2720000,1920000,2400000,2080000,2240000,4800000,4800000,2720000,2720000,2080000
19:00,4960000,4960000,4960000,1920000,2400000,4960000,4960000,4960000,2240000,2720000,2720000,4960000
20:00,4960000,4960000,4960000,1920000,2400000,4960000,4960000,4960000,4960000,2720000,2720000,4960000
21:00,4960000,4960000,4960000,1920000,2400000,4960000,4960000,4960000,4960000,2720000,2720000,4960000
22:00,4960000,4960000,4960000,1920000,2400000,4960000,4960000,4960000,4960000,2720000,2720000,4960000
23:00,1760000,2800000,2800000,1920000,2400000,2240000,1760000,3040000,2400000,2720000,2720000,2400000
